a,1
able,1
about,1
above,1
across,1
act,1
afraid,1
after,1
afternoon,1
again,1
against,1
age,1
ago,1
air,1
airplane,1
airport,1
album,1
all,1
almost,1
alone,1
along,1
already,1
also,1
always,1
am,1
among,1
an,1
and,1
angry,1
animal,1
another,1
answer,1
any,1
anybody,1
anyone,1
anything,1
apartment,1
apple,1
April,1
are,1
arm,1
around,1
arrive,1
art,1
artist,1
as,1
ask,1
at,1
attack,1
August,1
aunt,1
autumn,1
away,1
baby,1
back,1
bad,1
bag,1
bake,1
baker,1
ball,1
banana,1
bank,1
baseball,1
basket,1
basketball,1
bat,1
bath,1
bathroom,1
be,1
beautiful,1
because,1
become,1
bed,1
bedroom,1
beef,1
been,1
before,1
begin,1
beginning,1
behind,1
believe,1
bell,1
below,1
bench,1
beside,1
best,1
better,1
between,1
bicycle,1
big,1
bike,1
bird,1
birthday,1
black,1
blackboard,1
blow,1
blue,1
boat,1
body,1
book,1
boot,1
born,1
both,1
bottle,1
box,1
boy,1
bread,1
break,1
breakfast,1
bridge,1
bring,1
brother,1
brown,1
build,1
building,1
bus,1
business,1
busy,1
but,1
butter,1
buy,1
by,1
bye,1
cafe,1
cake,1
calendar,1
call,1
camera,1
camp,1
can,1
candy,1
cap,1
captain,1
car,1
card,1
careful,1
carry,1
case,1
cat,1
catch,1
center,1
certain,1
chair,1
chalk,1
chance,1
change,1
cheap,1
cheese,1
chicken,1
chief,1
child,1
children,1
chocolate,1
choose,1
Christmas,1
church,1
circle,1
city,1
class,1
classmate,1
classroom,1
clean,1
clear,1
clever,1
climb,1
clock,1
close,1
clothes,1
cloud,1
cloudy,1
club,1
coat,1
coffee,1
cold,1
college,1
color,1
come,1
company,1
cook,1
cookie,1
cool,1
corner,1
could,1
count,1
country,1
cover,1
cow,1
cry,1
cup,1
cut,1
dad,1
daddy,1
dance,1
dangerous,1
dark,1
date,1
daughter,1
day,1
dead,1
dear,1
death,1
December,1
decide,1
deep,1
delicious,1
department,1
desk,1
diary,1
dictionary,1
did,1
die,1
different,1
difficult,1
dinner,1
dirty,1
discover,1
dish,1
do,1
doctor,1
does,1
dog,1
doll,1
dollar,1
door,1
down,1
draw,1
dream,1
dress,1
drink,1
drive,1
driver,1
drop,1
dry,1
during,1
each,1
ear,1
early,1
earth,1
east,1
easy,1
eat,1
egg,1
eight,1
eighteen,1
eighty,1
either,1
elephant,1
eleven,1
else,1
end,1
enjoy,1
enough,1
enter,1
even,1
evening,1
ever,1
every,1
everybody,1
everyone,1
everything,1
everywhere,1
excuse,1
eye,1
face,1
fact,1
factory,1
fall,1
family,1
famous,1
far,1
farm,1
farmer,1
fast,1
fat,1
father,1
February,1
feel,1
feeling,1
few,1
field,1
fifteen,1
fifty,1
fight,1
film,1
find,1
fine,1
finger,1
finish,1
fire,1
first,1
fish,1
five,1
flat,1
floor,1
flower,1
fly,1
food,1
fool,1
foot,1
football,1
for,1
forest,1
forget,1
fork,1
forty,1
four,1
fourteen,1
fox,1
free,1
fresh,1
Friday,1
friend,1
friendly,1
frog,1
from,1
front,1
fruit,1
full,1
fun,1
funny,1
future,1
game,1
garden,1
gas,1
gentleman,1
get,1
girl,1
give,1
glad,1
glass,1
glove,1
go,1
goal,1
God,1
gold,1
golden,1
golf,1
gone,1
good,1
goodbye,1
grandfather,1
grandmother,1
grass,1
gray,1
great,1
green,1
ground,1
group,1
grow,1
guest,1
guide,1
guitar,1
gun,1
hair,1
half,1
hand,1
happen,1
happiness,1
happy,1
hard,1
has,1
hat,1
have,1
he,1
head,1
healthy,1
hear,1
heart,1
heavy,1
hello,1
help,1
her,1
here,1
hers,1
hi,1
high,1
hill,1
him,1
his,1
history,1
hit,1
hobby,1
hold,1
hole,1
holiday,1
home,1
homework,1
honest,1
honey,1
hope,1
horse,1
hospital,1
hot,1
hotel,1
hour,1
house,1
how,1
hundred,1
hungry,1
hurry,1
hurt,1
husband,1
I,1
ice,1
idea,1
if,1
ill,1
important,1
in,1
inside,1
interest,1
interested,1
interesting,1
into,1
invite,1
is,1
island,1
it,1
its,1
jam,1
January,1
job,1
join,1
joke,1
joy,1
juice,1
July,1
jump,1
June,1
junior,1
just,1
keep,1
key,1
kick,1
kid,1
kill,1
kind,1
king,1
kiss,1
kitchen,1
knee,1
knife,1
know,1
lady,1
lake,1
land,1
language,1
large,1
last,1
late,1
later,1
laugh,1
leaf,1
learn,1
leave,1
left,1
leg,1
lesson,1
let,1
letter,1
level,1
library,1
life,1
light,1
like,1
line,1
lion,1
lip,1
list,1
listen,1
little,1
live,1
long,1
look,1
lose,1
love,1
low,1
lucky,1
lunch,1
machine,1
magazine,1
mail,1
make,1
man,1
many,1
map,1
March,1
market,1
marry,1
master,1
matter,1
may,1
me,1
meal,1
mean,1
meat,1
meet,1
meeting,1
member,1
memory,1
men,1
meter,1
middle,1
midnight,1
mile,1
milk,1
mind,1
mine,1
minute,1
mirror,1
miss,1
mistake,1
Monday,1
money,1
monkey,1
month,1
moon,1
more,1
morning,1
most,1
mother,1
mountain,1
mouse,1
mouth,1
move,1
movie,1
Mr.,1
Mrs.,1
Ms.,1
much,1
museum,1
music,1
musician,1
must,1
my,1
nail,1
name,1
narrow,1
natural,1
near,1
necessary,1
neck,1
need,1
neighbor,1
never,1
new,1
news,1
newspaper,1
next,1
nice,1
night,1
nine,1
nineteen,1
ninety,1
no,1
nobody,1
noise,1
none,1
noon,1
north,1
nose,1
not,1
note,1
notebook,1
nothing,1
November,1
now,1
number,1
nurse,1
o'clock,1
October,1
of,1
off,1
office,1
often,1
oh,1
oil,1
OK,1
old,1
on,1
once,1
one,1
only,1
open,1
or,1
orange,1
order,1
other,1
our,1
ours,1
out,1
outside,1
over,1
page,1
paint,1
pair,1
pants,1
paper,1
parent,1
park,1
part,1
party,1
pass,1
past,1
pay,1
pen,1
pencil,1
people,1
percent,1
perhaps,1
person,1
pet,1
phone,1
photograph,1
piano,1
pick,1
picnic,1
picture,1
piece,1
pig,1
pilot,1
pink,1
pipe,1
place,1
plan,1
plane,1
plant,1
play,1
please,1
pocket,1
point,1
police,1
policeman,1
pool,1
poor,1
popular,1
pork,1
post,1
pot,1
potato,1
pound,1
power,1
practice,1
present,1
pretty,1
price,1
promise,1
proud,1
pull,1
push,1
put,1
quarter,1
queen,1
question,1
quick,1
quickly,1
quiet,1
rabbit,1
race,1
radio,1
rain,1
rainy,1
reach,1
read,1
ready,1
real,1
really,1
receive,1
red,1
remember,1
restaurant,1
return,1
rice,1
rich,1
ride,1
right,1
ring,1
rise,1
river,1
road,1
robot,1
rock,1
rocket,1
roof,1
room,1
rope,1
rose,1
round,1
rule,1
run,1
sad,1
safe,1
salad,1
sale,1
salt,1
same,1
sand,1
sandwich,1
Saturday,1
save,1
say,1
scene,1
school,1
science,1
sea,1
season,1
seat,1
second,1
secret,1
see,1
seem,1
sell,1
send,1
September,1
set,1
seven,1
seventeen,1
seventy,1
several,1
shake,1
shall,1
shape,1
sharp,1
she,1
sheep,1
shine,1
ship,1
shirt,1
shoe,1
shop,1
shopping,1
short,1
should,1
shoulder,1
show,1
shower,1
shut,1
sick,1
side,1
sign,1
silent,1
silver,1
simple,1
since,1
sing,1
singer,1
sister,1
sit,1
six,1
sixteen,1
sixty,1
size,1
ski,1
skiing,1
skin,1
sky,1
sleep,1
sleepy,1
slow,1
slowly,1
small,1
smell,1
smile,1
smoke,1
smoker,1
smoking,1
snake,1
snow,1
so,1
soap,1
soccer,1
soda,1
soft,1
some,1
somebody,1
someone,1
something,1
sometimes,1
son,1
song,1
soon,1
sorry,1
sound,1
soup,1
south,1
space,1
speak,1
speaker,1
special,1
speed,1
spend,1
spoon,1
sport,1
spring,1
square,1
stamp,1
stand,1
star,1
start,1
station,1
stay,1
step,1
still,1
stone,1
stop,1
store,1
story,1
straight,1
strange,1
street,1
strong,1
student,1
study,1
subway,1
such,1
suddenly,1
sugar,1
suit,1
summer,1
sun,1
Sunday,1
supermarket,1
sure,1
surprise,1
sweet,1
swim,1
switch,1
table,1
take,1
talk,1
tall,1
tape,1
taste,1
taxi,1
tea,1
teach,1
teacher,1
team,1
telephone,1
television,1
tell,1
ten,1
tennis,1
tent,1
test,1
textbook,1
than,1
thank,1
that,1
the,1
their,1
theirs,1
them,1
then,1
there,1
these,1
they,1
thick,1
thin,1
thing,1
think,1
third,1
thirteen,1
thirty,1
this,1
those,1
though,1
thousand,1
three,1
through,1
throw,1
Thursday,1
ticket,1
tie,1
tiger,1
till,1
time,1
tired,1
to,1
today,1
toe,1
together,1
toilet,1
tomato,1
tomorrow,1
tongue,1
tonight,1
too,1
tooth,1
top,1
touch,1
toward,1
towel,1
tower,1
town,1
toy,1
train,1
travel,1
tree,1
trip,1
trouble,1
true,1
try,1
Tuesday,1
tunnel,1
turn,1
twelve,1
twenty,1
two,1
type,1
umbrella,1
uncle,1
under,1
understand,1
until,1
up,1
upon,1
us,1
use,1
useful,1
usual,1
usually,1
vacation,1
vegetable,1
very,1
video,1
videotape,1
village,1
violin,1
visit,1
visitor,1
voice,1
wait,1
wake,1
walk,1
wall,1
want,1
war,1
warm,1
was,1
wash,1
watch,1
water,1
wave,1
way,1
we,1
weak,1
wear,1
Wednesday,1
week,1
weekend,1
welcome,1
well,1
were,1
west,1
wet,1
what,1
when,1
where,1
which,1
while,1
white,1
who,1
whom,1
whose,1
why,1
wide,1
wife,1
wild,1
will,1
wind,1
window,1
wine,1
winter,1
wise,1
with,1
without,1
woman,1
wonderful,1
wood,1
word,1
work,1
world,1
worry,1
worst,1
would,1
write,1
wrong,1
yard,1
year,1
yellow,1
yes,1
yesterday,1
you,1
young,1
your,1
yours,1
zoo,1
May,1
Miss,1
ability,2
abroad,2
absent,2
accent,2
accept,2
accident,2
account,2
action,2
active,2
activity,2
actor,2
actress,2
actual,2
actually,2
add,2
address,2
admire,2
adult,2
adventure,2
advice,2
advise,2
afterward,2
agency,2
agent,2
agree,2
ah,2
ahead,2
aim,2
airline,2
alive,2
allow,2
almond,2
alphabet,2
amount,2
angel,2
anger,2
announce,2
ant,2
anxious,2
anyway,2
anywhere,2
apart,2
appear,2
appearance,2
apply,2
approach,2
apron,2
area,2
army,2
arrange,2
arrangement,2
arrival,2
aside,2
asleep,2
assist,2
attend,2
attention,2
audience,2
automobile,2
awake,2
aware,2
awful,2
backward,2
bacon,2
badly,2
balance,2
balloon,2
band,2
bar,2
base,2
basic,2
battle,2
bay,2
beach,2
bean,2
bear,2
beard,2
beat,2
beautifully,2
beauty,2
bee,2
beer,2
behave,2
belong,2
belt,2
bend,2
beyond,2
bill,2
birth,2
bit,2
blame,2
blanket,2
blind,2
block,2
blood,2
board,2
boil,2
bone,2
bookshop,2
bookstore,2
boring,2
borrow,2
boss,2
bottom,2
bow,2
bowl,2
boyfriend,2
brain,2
brake,2
branch,2
brave,2
breath,2
breathe,2
brick,2
bright,2
brilliant,2
broad,2
broadcast,2
broken,2
brush,2
burn,2
burst,2
bush,2
businessman,2
butterfly,2
button,2
cab,2
cable,2
cage,2
campus,2
candle,2
capital,2
care,2
carefully,2
carpenter,2
cash,2
cast,2
castle,2
cause,2
ceiling,2
cent,2
centimeter,2
central,2
century,2
certainly,2
chain,2
champion,2
chapter,2
character,2
charge,2
check,2
cheek,2
cheer,2
cherry,2
chest,2
choice,2
cigar,2
cigarette,2
cinema,2
citizen,2
claim,2
cleaning,2
clearly,2
clerk,2
clinic,2
cloth,2
coal,2
coast,2
cocoa,2
coin,2
collect,2
collection,2
colorful,2
comfort,2
